Finishing Time,ITRA Score
39:19:42,630
39:19:54,581
39:21:30,459
39:22:40,611
39:22:42,611
39:26:44,560
39:27:23,530
39:28:02,453
39:28:30,568
39:29:07,543
39:29:36,552
39:30:53,514
39:30:56,572
39:31:12,531
39:31:22,642
39:31:43,529
39:33:13,507
39:34:40,586
39:35:03,510
39:35:56,553
39:36:19,548
39:36:26,593
39:36:33,732
39:36:53,462
39:38:41,617
39:39:29,554
39:39:45,514
39:40:19,538
39:40:24,512
39:40:29,508
39:42:43,662
39:43:02,541
39:43:12,490
39:43:20,507
39:44:10,577
39:44:29,578
39:44:38,561
39:45:16,570
39:45:44,610
39:45:44,504
39:46:03,641
39:46:03,506
39:46:13,564
39:47:01,467
39:47:50,610
39:48:29,542
39:49:02,562
39:50:07,480
39:50:48,520
39:51:03,511
39:51:12,547
39:51:26,525
39:51:36,580
39:52:05,489
39:52:34,598
39:52:48,525
39:53:04,633
39:53:50,520
39:54:05,688
39:55:13,548
39:56:33,564
39:57:44,509
39:58:12,508
40:00:13,523
40:01:42,597
40:01:59,581
40:02:20,617
40:04:27,632
40:04:31,540
40:04:50,567
40:05:12,527
40:06:19,543
40:06:39,637
40:06:48,540
40:06:59,581
40:07:51,598
40:08:13,599
40:08:44,515
40:09:02,666
40:09:59,700
40:12:20,630
40:14:23,498
40:15:19,490
40:15:58,493
40:16:21,523
40:16:22,585
40:16:36,539
40:17:22,558
40:17:48,555
40:18:04,599
40:18:05,560
40:18:54,489
40:19:07,448
40:19:52,598
40:19:58,470
40:20:08,500
40:20:20,478
40:20:33,560
40:20:53,489
40:20:57,641
40:21:52,528
40:22:43,517
40:23:22,452
40:23:29,525
40:25:40,540
40:25:59,549
40:26:53,523
40:28:20,558
40:28:51,551
40:29:03,490
40:29:40,537
40:30:25,516
40:30:59,506
40:31:06,511
40:31:18,479
40:32:34,574
40:32:35,589
40:33:28,451
40:33:33,479
40:34:13,496
40:34:36,638
40:36:05,524
40:36:46,538
40:37:03,553
40:37:27,498
40:38:29,564
40:39:36,560
40:40:28,561
40:40:39,587
40:42:15,530
40:42:26,491
40:43:21,606
40:43:29,619
40:43:37,531
40:45:12,596
40:45:53,549
40:46:06,596
40:48:13,528
40:48:21,513
40:48:29,482
40:50:27,530
40:51:38,540
40:53:08,485
40:54:08,704
40:54:08,531
40:54:39,545
40:56:21,560
40:56:49,555
40:56:57,590
40:57:01,494
40:57:09,505
40:57:12,601
40:57:13,541
40:57:27,563
40:58:04,517
40:58:16,621
40:59:06,513
41:00:28,575
41:00:32,444
41:01:12,637
41:01:57,615
41:02:02,557
41:03:10,499
41:03:41,522
41:03:46,640
41:03:46,581
41:03:54,587
41:03:57,576
41:04:22,557
41:05:46,529
41:05:50,632
41:06:00,559
41:06:49,439
41:09:25,530
41:09:49,513
41:10:36,584
41:10:52,471
41:13:14,569
41:13:58,591
41:15:34,583
41:15:44,511
41:17:27,502
41:17:39,520
41:18:21,559
41:18:35,619
41:19:19,488
41:21:08,537
41:21:28,689
41:23:47,553
41:24:08,587
41:25:45,533
41:26:56,509
41:29:28,443
41:29:29,548
41:29:42,497
41:29:52,560
41:30:13,658
41:30:24,522
41:31:32,578
41:31:51,503
41:32:20,501
41:34:32,519
41:34:35,687
41:34:36,563
41:35:23,657
41:36:15,448
41:36:54,538
41:37:28,480
41:39:41,525
41:40:16,589
41:41:15,585
41:41:23,511
41:41:24,492
41:41:31,427
41:42:20,472
41:42:34,462
41:42:45,526
41:42:46,546
41:43:11,518
41:44:16,434
41:44:18,473
41:44:36,576
41:45:49,626
41:45:55,477
41:46:13,497
41:46:13,426
41:47:32,606
41:47:58,515
41:48:24,468
41:48:54,488
41:49:00,461
41:49:10,493
41:49:14,531
41:49:22,479
41:49:25,517
41:50:05,552
41:50:43,587
41:51:40,488
41:52:37,469
41:53:15,510
41:57:26,455
41:57:31,561
41:57:57,552
41:57:58,519
41:58:01,483
41:58:10,572
41:58:48,507
41:59:05,542
41:59:22,516
41:59:28,497
41:59:34,533
42:00:15,559
42:00:15,479
42:00:23,566
42:00:51,547
42:01:05,512
42:02:10,513
42:02:54,538
42:04:40,451
42:05:00,456
42:05:05,449
42:06:00,519
42:06:25,519
42:06:31,579
42:06:31,569
42:06:34,496
42:06:59,577
42:07:36,427
42:08:28,502
42:09:26,537
42:09:46,533
42:09:55,494
42:10:01,567
42:10:01,548
42:10:09,553
42:10:34,513
42:10:44,514
42:11:02,513
42:11:05,462
42:12:04,488
42:12:12,522
42:13:42,543
42:13:43,504
42:14:02,579
42:14:44,554
42:14:49,526
42:14:58,588
42:16:22,431
42:17:03,514
42:17:40,421
42:17:53,542
42:18:27,534
42:18:35,540
42:19:01,582
42:19:11,528
42:19:31,546
42:20:21,624
42:20:23,435
42:20:25,677
42:20:31,556
42:20:39,558
42:20:52,499
42:21:04,598
42:21:24,545
42:21:35,560
42:22:16,499
42:22:28,584
42:22:31,519
42:22:34,451
42:22:50,513
42:23:08,610
42:23:10,676
42:23:33,634
42:24:20,545
42:24:25,512
42:24:28,457
42:24:30,517
42:26:15,509
42:27:24,419
42:27:36,473
42:28:27,534
42:28:34,518
42:28:55,546
42:29:01,470
42:29:38,476
42:30:12,541
42:31:48,481
42:32:07,470
42:33:58,458
42:33:59,719
42:34:10,616
42:34:26,464
42:34:39,567
42:34:53,517
42:35:04,651
42:35:21,505
42:36:02,478
42:36:05,546
42:36:34,519
42:36:49,508
42:36:56,554
42:36:57,441
42:36:58,494
42:37:52,506
42:38:17,537
42:38:22,516
42:39:22,485
42:40:19,531
42:41:39,503
42:42:08,472
42:42:56,596
42:44:11,546
42:44:36,453
42:44:59,508
42:45:01,577
42:45:58,439
42:46:10,479
42:46:17,502
42:46:25,603
42:46:46,493
42:47:41,530
42:48:04,497
42:48:09,530
42:49:45,545
42:49:56,500
42:50:04,611
42:50:06,552
42:50:08,606
42:50:28,465
42:50:59,533
42:51:11,543
42:51:12,635
42:51:33,577
42:51:37,456
42:52:01,524
42:52:42,532
42:54:03,545
42:54:36,539
42:55:31,464
42:55:40,508
42:57:55,438
42:58:28,539
43:00:56,561
43:01:49,454
43:01:55,522
43:01:58,601
43:02:03,579
